Badlands_National_Park[SD]area: 242756
Big_Bend_National_Park[TX]area: 801163
Canyonlands_National_Park[UT]area: 337598
Capitol_Reef_National_Park[UT]area: 241904
Channel_Islands_National_Park[CA]area: 249561
Great_Smoky_Mountains_National_Park[TN]area: 521490
Grand_Teton_National_Park[WY]area: 309995
Hawaii_Volcanoes_National_Park[HI]area: 323431
Isle_Royale_National_Park[MI]area: 571790
Joshua_Tree_National_Park[CA]area: 789745
Kenai_Fjords_National_Park[AK]area: 669983
Mount_Rainier_National_Park[WA]area: 235625
North_Cascades_National_Park[WA]area: 504781
Rocky_Mountain_National_Park[CO]area: 265828
Sequoia_and_Kings_Canyon_National_Parks[CA]area: 865952
Voyageurs_National_Park[MN]area: 218200
Sequoia_and_Kings_Canyon_National_Parks[CA]area: 865952
Voyageurs_National_Park[MN]area: 218200
